18
0 8 16
1 13 14
2 8 8
3 13 5
4 0 11
5 8 12
6 13 11
7 8 2
8 1 15
9 5 0
10 13 1
11 5 15
12 16 0
13 1 7
14 13 0
15 8 15
16 4 11
17 2 10
18 9 5
19 13 9
20 1 5
21 9 13
22 0 16
23 1 10
24 0 7
25 0 0
26 4 9
27 4 6
28 5 4
29 5 12
30 1 2
31 19 8
32 19 12
33 13 7
34 3 10
35 9 6
36 1 9
37 0 10
38 0 8
39 13 15
40 5 14
41 16 9
42 7 1
43 4 8
44 7 10
45 8 0
46 4 3
47 1 14
48 5 13
49 5 1
50 5 17
51 4 2
52 1 17
53 1 11
54 0 5
55 13 13
56 13 3
57 9 1
58 13 16
59 13 8
60 2 0
61 10 14
62 4 10
63 1 8
64 13 10
65 1 12
66 1 3
67 0 4
68 4 7
69 13 2
70 4 13
71 0 1
72 13 12
73 8 5
74 4 15
75 8 7
76 2 14
77 9 16
78 13 4
79 13 17
80 0 12
81 11 11
82 15 6
83 13 6
84 1 4
85 16 14
86 5 3
87 0 6
88 1 1
89 3 5
90 1 6
91 4 14
92 1 13
93 9 15
94 1 0
95 11 13
96 0 17
97 5 9
98 0 3
99 11 2
