7
0 1 2
1 1 0
2 1 1
3 13 0
4 0 0
5 0 2
6 0 1
7 1 4
8 1 5
9 1 3
10 0 4
11 0 6
12 2 3
13 1 6
14 2 1
15 2 0
16 2 5
17 6 2
18 6 0
19 3 0
20 2 4
21 3 1
22 4 0
23 5 1
24 2 6
25 13 1
26 6 1
27 0 3
28 0 5
29 6 3
30 6 4
31 6 5
32 2 2
33 3 3
34 4 1
35 7 0
36 7 5
37 6 6
38 13 4
39 3 4
40 9 1
41 3 2
42 7 3
43 7 1
44 3 5
45 7 2
46 7 6
47 11 2
48 8 0
49 11 0
50 4 6
51 11 3
52 13 3
53 15 0
54 11 5
55 9 6
56 8 1
57 3 6
58 4 2
59 8 2
60 7 4
61 8 3
62 8 4
63 4 3
64 9 2
65 9 0
66 8 6
67 9 5
68 11 4
69 11 1
70 9 4
71 15 2
72 4 4
73 8 5
74 15 3
75 12 2
76 9 3
77 11 6
78 4 5
79 10 1
80 10 2
81 15 1
82 12 3
83 13 6
84 12 4
85 13 2
86 13 5
87 10 0
88 15 4
89 10 5
90 15 5
91 12 0
92 10 3
93 12 5
94 15 6
95 17 0
96 12 1
97 5 0
98 12 6
99 19 6
